letter,float,integer
p,9.69,65
k,50.05,71
v,96.87,44
l,91.54,15
x,73.15,34
p,21.13,5
f,78.76,7
v,16.81,6
k,34.51,47
r,37.5,41
v,66.89,57
z,64.62,66
p,85.51,68
z,20.51,6
z,21.7,29
x,25.75,24
c,37.67,98
w,84.06,81
h,27.25,75
z,51.53,5
r,53.71,67
z,18.84,19
o,4.02,81
x,46.94,66
z,70.6,64
z,8.94,51
w,51.1,36
w,84.15,69
n,47.27,82
q,95.05,67
h,15.54,42
w,89.51,61
y,4.95,78
b,63.26,86
v,65.78,9
b,90.11,40
k,95.47,72
c,41.65,8
o,13.89,50
f,27.81,97
v,60.2,68
k,93.98,64
e,33.07,49
i,26.9,37
g,27.83,32
z,41.78,6
h,68.56,74
o,26.21,79
h,12.13,11
u,40.47,89
q,24.13,13
k,3.73,49
k,49.57,40
w,28.73,91
w,35.93,21
c,78.12,14
s,70.31,3
e,82.98,44
o,31.54,79
d,58.55,54
c,44.85,71
r,58.01,16
x,57.57,69
e,98.68,14
o,72.25,90
j,38.72,26
d,11.13,100
c,72.1,33
q,45.17,29
h,37.14,10
d,49.04,93
j,93.79,96
k,74.67,37
o,13.84,36
z,25.98,39
y,87.67,22
a,56.4,29
t,28.11,45
s,4.41,68
z,92.68,38
e,73.83,99
u,47.87,92
s,90.03,69
b,83.81,50
d,94.72,18
x,8.34,93
x,54.55,33
r,64.02,15
i,20.2,58
z,44.5,1
o,87.97,23
v,52.23,1
f,8.28,68
k,54.8,61
v,72.92,54
v,39.8,40
g,87.13,8
v,73.71,73
t,15.61,59
k,96.43,60
