letter,float,integer
r,81.54,59
o,21.22,96
v,8.51,91
p,15.79,35
a,70.06,33
u,73.14,1
h,28.83,90
t,3.9,35
u,91.8,10
u,55.39,8
c,45.9,62
t,34.71,69
c,15.47,5
p,21.54,43
t,23.88,57
g,19.1,36
r,89.56,29
h,67.39,92
c,4.22,41
d,28.45,29
o,30.03,92
g,89.18,38
j,70.37,83
r,31.48,73
b,68.62,95
o,51.18,100
r,2.14,36
e,84.49,69
p,0.84,12
y,17.52,77
p,62.07,89
l,28.9,80
g,5.29,77
j,68.44,15
k,66.53,29
c,22.83,50
g,4.61,32
h,12.64,21
z,17.94,80
z,99.61,74
d,16.34,76
w,45.99,36
c,73.42,14
v,9.76,98
b,65.97,66
i,94.1,1
i,73.14,97
b,18.12,91
a,72.19,63
f,90.01,91
k,99.33,81
m,77.0,81
t,18.7,69
g,79.19,8
m,27.05,30
o,79.87,24
w,94.18,46
i,82.69,33
z,50.81,1
h,69.23,0
r,79.96,79
c,91.59,9
w,97.5,6
f,28.64,66
t,1.16,61
k,23.03,9
x,61.52,73
m,1.86,60
u,27.85,82
w,96.21,97
a,58.8,55
g,15.6,5
n,52.63,21
r,33.18,97
a,94.74,92
s,79.81,94
u,19.92,29
t,58.2,5
i,78.01,89
r,70.61,66
s,99.23,2
w,92.86,57
h,41.82,31
w,9.25,35
k,95.63,83
m,63.25,74
q,4.96,74
y,11.36,86
g,75.15,79
d,61.68,27
h,53.89,87
y,95.97,12
a,99.6,75
f,42.9,56
a,6.25,16
a,97.37,32
a,25.27,41
k,30.47,82
n,9.25,6
u,66.1,28
letter,float,integer
u,38.52,54
g,49.21,35
a,41.57,16
x,35.51,80
w,69.28,46
t,83.44,15
c,21.45,61
t,54.94,33
z,63.95,17
z,7.21,51
o,0.82,8
j,94.45,37
v,34.29,34
k,79.57,8
d,64.7,97
v,93.68,79
k,94.0,69
j,92.35,36
n,12.11,41
v,13.4,73
p,12.8,81
e,63.18,41
c,1.03,8
y,37.21,56
s,90.29,78
v,87.03,24
h,90.13,81
e,43.58,60
o,22.15,22
z,83.39,41
t,87.68,92
a,85.19,5
b,42.29,7
p,38.46,59
l,67.51,93
o,9.05,81
n,14.88,25
f,53.4,60
w,49.12,61
b,96.82,9
r,65.9,4
c,45.54,15
q,13.45,100
t,82.46,28
b,43.2,33
x,41.19,50
p,52.03,40
r,19.31,2
s,93.02,20
c,47.02,36
u,36.86,52
y,4.09,32
h,59.76,37
p,21.22,46
g,58.85,88
z,37.89,35
y,94.54,78
p,89.96,22
k,77.99,40
r,16.99,82
w,19.31,15
b,38.85,2
x,30.74,96
n,83.02,35
d,55.01,67
i,85.32,95
y,92.72,80
u,69.69,56
p,91.45,28
w,27.63,47
v,57.97,70
t,99.74,64
y,38.13,73
l,89.87,8
z,99.85,24
j,50.33,56
f,42.13,0
y,52.81,67
i,24.25,45
l,61.61,46
q,2.37,81
f,73.83,71
u,13.47,31
f,78.52,9
q,71.2,63
o,65.36,97
k,16.04,8
o,43.65,41
u,32.3,12
f,91.49,4
g,0.77,96
w,39.26,54
s,56.94,92
o,2.43,79
n,26.63,51
x,33.43,39
z,2.94,17
i,89.54,22
d,96.38,100
x,52.02,58
letter,float,integer
j,66.04,96
